Sr. No.,Item Name,Quantity,UOM,Brand,RM,RM Currency,MF,MF Currency,Unit Price (₹),Extended Price (₹),Tax,Total Price (₹),Baseline Price (₹)
276,SPARX 12V motor,60,each,ABC,500,INR,885,INR,1525,91500,12 %,102480.0,105225.0
277,LED Panel 250,16,each,ABC,582,INR,917,INR,1988,31808,12 %,35624.96,36579.2
278,Air Pump,31,litres,ABC,684,INR,593,INR,1482,45942,12 %,51455.04,52833.3
279,Air Pump,6,crystals,XYZ,815,INR,532,INR,1639,9834,12 %,11014.08,11309.1
280,Air Pump,29,crystals,MKT,677,INR,802,INR,1849,53621,12 %,60055.52,61664.15
281,Air Pump,6,each,AKZ,623,INR,709,INR,1494,8964,12 %,10039.68,10308.6
282,Air Pump,2,each,XYZ,840,INR,989,INR,2058,4116,12 %,4609.92,4733.4
283,LED Panel 250,84,each,MKT,606,INR,783,INR,1877,157668,12 %,176588.16,181318.2
284,Drill Machine,72,litres,MNO,919,INR,674,INR,1917,138024,12 %,154586.88,158727.6
285,Drill Machine,19,tons,MKT,839,INR,510,INR,1585,30115,12 %,33728.8,34632.25
286,TITAN 25mm wrench,76,litres,MNO,987,INR,649,INR,2081,158156,12 %,177134.72,181879.4
287,Air Pump,83,crystals,ABC,682,INR,953,INR,1809,150147,12 %,168164.64,172669.05
288,LED Panel 250,83,crystals,ABC,751,INR,993,INR,2199,182517,12 %,204419.04,209894.55
289,TITAN 25mm wrench,29,crystals,ABC,969,INR,860,INR,2140,62060,12 %,69507.2,71369.0
290,LED Panel 250,31,each,MNO,890,INR,656,INR,2010,62310,12 %,69787.2,71656.5
291,TITAN 25mm wrench,33,crystals,MKT,906,INR,944,INR,2108,69564,12 %,77911.68,79998.6
292,Air Pump,82,tons,MKT,751,INR,591,INR,1832,150224,12 %,168250.88,172757.6
293,Air Pump,30,crystals,MNO,914,INR,1000,INR,2296,68880,12 %,77145.6,79212.0
294,Air Pump,27,litres,ABC,731,INR,743,INR,1907,51489,12 %,57667.68,59212.35
295,Air Pump,41,each,XYZ,886,INR,568,INR,1675,68675,12 %,76916.0,78976.25
296,LED Panel 250,62,litres,MNO,832,INR,612,INR,1671,103602,12 %,116034.24,119142.3
297,TITAN 25mm wrench,35,crystals,ABC,920,INR,847,INR,2265,79275,12 %,88788.0,91166.25
298,LED Panel 250,90,crystals,AKZ,815,INR,872,INR,1817,163530,12 %,183153.6,188059.5
299,LED Panel 250,72,crystals,XYZ,868,INR,869,INR,2220,159840,12 %,179020.8,183816.0
300,LED Panel 250,98,crystals,XYZ,760,INR,670,INR,1819,178262,12 %,199653.44,205001.3
301,Drill Machine,51,each,XYZ,505,INR,866,INR,1485,75735,12 %,84823.2,87095.25
302,SPARX 12V motor,57,each,AKZ,921,INR,573,INR,1799,102543,12 %,114848.16,117924.45
303,TITAN 25mm wrench,32,crystals,ABC,835,INR,728,INR,1678,53696,12 %,60139.52,61750.4
304,Drill Machine,75,each,AKZ,685,INR,543,INR,1402,105150,12 %,117768.0,120922.5
305,Drill Machine,60,each,AKZ,520,INR,960,INR,1747,104820,12 %,117398.4,120543.0
306,Drill Machine,28,litres,XYZ,941,INR,933,INR,2320,64960,12 %,72755.2,74704.0
307,SPARX 12V motor,22,crystals,XYZ,958,INR,742,INR,2122,46684,12 %,52286.08,53686.6
308,LED Panel 250,86,tons,MKT,903,INR,572,INR,1718,147748,12 %,165477.76,169910.2
309,TITAN 25mm wrench,1,litres,ABC,760,INR,777,INR,1831,1831,12 %,2050.72,2105.65
310,SPARX 12V motor,5,litres,AKZ,513,INR,678,INR,1651,8255,12 %,9245.6,9493.25
311,TITAN 25mm wrench,98,litres,MKT,834,INR,786,INR,2050,200900,12 %,225008.0,231035.0
312,TITAN 25mm wrench,1,each,MKT,671,INR,753,INR,1553,1553,12 %,1739.36,1785.95
313,Air Pump,8,each,MNO,644,INR,559,INR,1478,11824,12 %,13242.88,13597.6
314,LED Panel 250,29,litres,MKT,863,INR,942,INR,2229,64641,12 %,72397.92,74337.15
315,Air Pump,8,each,MNO,926,INR,523,INR,1750,14000,12 %,15680.0,16100.0
316,LED Panel 250,51,litres,MNO,856,INR,636,INR,1854,94554,12 %,105900.48,108737.1
317,LED Panel 250,38,each,MNO,748,INR,915,INR,2107,80066,12 %,89673.92,92075.9
318,Air Pump,77,crystals,MNO,733,INR,711,INR,1801,138677,12 %,155318.24,159478.55
319,Air Pump,74,each,MKT,824,INR,889,INR,2138,158212,12 %,177197.44,181943.8
320,Air Pump,8,tons,MKT,791,INR,843,INR,1898,15184,12 %,17006.08,17461.6
321,Air Pump,76,litres,ABC,924,INR,825,INR,2003,152228,12 %,170495.36,175062.2
322,LED Panel 250,50,litres,ABC,880,INR,861,INR,1885,94250,12 %,105560.0,108387.5
323,Drill Machine,99,litres,MKT,724,INR,927,INR,1926,190674,12 %,213554.88,219275.1
324,SPARX 12V motor,69,crystals,MNO,887,INR,861,INR,1943,134067,12 %,150155.04,154177.05
325,Drill Machine,40,each,MKT,794,INR,766,INR,1769,70760,12 %,79251.2,81374.0
326,Drill Machine,97,tons,MNO,622,INR,889,INR,1888,183136,12 %,205112.32,210606.4
327,Air Pump,98,crystals,MKT,665,INR,952,INR,1963,192374,12 %,215458.88,221230.1
328,Drill Machine,61,litres,MKT,972,INR,689,INR,1829,111569,12 %,124957.28,128304.35
329,TITAN 25mm wrench,49,crystals,XYZ,847,INR,536,INR,1754,85946,12 %,96259.52,98837.9
330,SPARX 12V motor,45,tons,MKT,904,INR,890,INR,2121,95445,12 %,106898.4,109761.75
331,LED Panel 250,11,tons,MNO,687,INR,862,INR,1808,19888,12 %,22274.56,22871.2
332,LED Panel 250,56,litres,AKZ,589,INR,725,INR,1804,101024,12 %,113146.88,116177.6
333,LED Panel 250,40,litres,MKT,884,INR,692,INR,2066,82640,12 %,92556.8,95036.0
334,Drill Machine,61,each,XYZ,536,INR,824,INR,1746,106506,12 %,119286.72,122481.9
335,LED Panel 250,23,litres,XYZ,685,INR,748,INR,1818,41814,12 %,46831.68,48086.1
336,LED Panel 250,28,tons,MKT,712,INR,512,INR,1514,42392,12 %,47479.04,48750.8
337,TITAN 25mm wrench,23,crystals,AKZ,655,INR,731,INR,1669,38387,12 %,42993.44,44145.05
338,TITAN 25mm wrench,50,litres,ABC,711,INR,732,INR,1712,85600,12 %,95872.0,98440.0
339,TITAN 25mm wrench,98,crystals,ABC,510,INR,710,INR,1374,134652,12 %,150810.24,154849.8
340,TITAN 25mm wrench,79,litres,MKT,754,INR,889,INR,1988,157052,12 %,175898.24,180609.8
341,LED Panel 250,56,each,AKZ,855,INR,841,INR,2148,120288,12 %,134722.56,138331.2
342,Drill Machine,6,litres,MNO,645,INR,911,INR,1905,11430,12 %,12801.6,13144.5
343,SPARX 12V motor,22,litres,MKT,988,INR,884,INR,2042,44924,12 %,50314.88,51662.6
344,Air Pump,87,litres,MKT,837,INR,627,INR,1928,167736,12 %,187864.32,192896.4
345,Air Pump,10,crystals,XYZ,599,INR,657,INR,1487,14870,12 %,16654.4,17100.5
346,TITAN 25mm wrench,87,tons,ABC,813,INR,991,INR,2288,199056,12 %,222942.72,228914.4
347,Drill Machine,25,crystals,AKZ,649,INR,831,INR,1891,47275,12 %,52948.0,54366.25
348,SPARX 12V motor,40,litres,MNO,606,INR,684,INR,1590,63600,12 %,71232.0,73140.0
349,Drill Machine,92,litres,AKZ,623,INR,664,INR,1418,130456,12 %,146110.72,150024.4
350,Air Pump,11,each,XYZ,804,INR,640,INR,1592,17512,12 %,19613.44,20138.8
351,Drill Machine,58,tons,ABC,518,INR,686,INR,1602,92916,12 %,104065.92,106853.4
352,Drill Machine,82,litres,MNO,607,INR,538,INR,1284,105288,12 %,117922.56,121081.2
353,LED Panel 250,6,crystals,MKT,859,INR,578,INR,1782,10692,12 %,11975.04,12295.8
354,TITAN 25mm wrench,82,crystals,XYZ,947,INR,561,INR,1903,156046,12 %,174771.52,179452.9
355,Air Pump,18,crystals,MNO,781,INR,846,INR,1815,32670,12 %,36590.4,37570.5
356,Air Pump,96,each,MKT,701,INR,757,INR,1827,175392,12 %,196439.04,201700.8
357,Air Pump,56,crystals,AKZ,611,INR,755,INR,1794,100464,12 %,112519.68,115533.6
358,SPARX 12V motor,5,litres,ABC,996,INR,745,INR,2235,11175,12 %,12516.0,12851.25
359,LED Panel 250,86,litres,XYZ,988,INR,771,INR,1973,169678,12 %,190039.36,195129.7
360,TITAN 25mm wrench,91,crystals,XYZ,667,INR,666,INR,1537,139867,12 %,156651.04,160847.05
361,SPARX 12V motor,49,litres,MKT,621,INR,544,INR,1594,78106,12 %,87478.72,89821.9
362,LED Panel 250,33,crystals,ABC,876,INR,768,INR,1770,58410,12 %,65419.2,67171.5
363,SPARX 12V motor,96,crystals,ABC,627,INR,895,INR,1738,166848,12 %,186869.76,191875.2
364,LED Panel 250,10,each,ABC,965,INR,913,INR,2068,20680,12 %,23161.6,23782.0
365,Drill Machine,29,each,AKZ,515,INR,743,INR,1449,42021,12 %,47063.52,48324.15
366,LED Panel 250,55,each,MKT,565,INR,509,INR,1334,73370,12 %,82174.4,84375.5
367,SPARX 12V motor,49,tons,XYZ,616,INR,581,INR,1335,65415,12 %,73264.8,75227.25
368,Air Pump,83,tons,XYZ,544,INR,711,INR,1704,141432,12 %,158403.84,162646.8
369,TITAN 25mm wrench,33,litres,ABC,728,INR,634,INR,1513,49929,12 %,55920.48,57418.35
370,LED Panel 250,47,each,MKT,948,INR,845,INR,1959,92073,12 %,103121.76,105883.95
371,LED Panel 250,53,tons,XYZ,807,INR,512,INR,1513,80189,12 %,89811.68,92217.35
372,Air Pump,86,litres,ABC,593,INR,933,INR,1660,142760,12 %,159891.2,164174.0
373,Air Pump,22,tons,MKT,621,INR,807,INR,1860,40920,12 %,45830.4,47058.0
374,SPARX 12V motor,70,litres,AKZ,554,INR,529,INR,1550,108500,12 %,121520.0,124775.0
375,TITAN 25mm wrench,72,litres,MNO,821,INR,876,INR,1931,139032,12 %,155715.84,159886.8
376,Drill Machine,15,tons,AKZ,893,INR,908,INR,2182,32730,12 %,36657.6,37639.5
377,LED Panel 250,49,crystals,MNO,736,INR,973,INR,1889,92561,12 %,103668.32,106445.15
378,Air Pump,18,litres,ABC,750,INR,980,INR,2136,38448,12 %,43061.76,44215.2
379,Air Pump,12,crystals,ABC,962,INR,859,INR,2120,25440,12 %,28492.8,29256.0
380,Air Pump,72,litres,MNO,795,INR,955,INR,1864,134208,12 %,150312.96,154339.2
381,SPARX 12V motor,55,crystals,MKT,986,INR,519,INR,1683,92565,12 %,103672.8,106449.75
382,Drill Machine,70,each,MKT,715,INR,885,INR,1813,126910,12 %,142139.2,145946.5
383,SPARX 12V motor,71,each,MKT,853,INR,977,INR,2153,152863,12 %,171206.56,175792.45
384,LED Panel 250,22,tons,ABC,847,INR,845,INR,2175,47850,12 %,53592.0,55027.5
385,SPARX 12V motor,46,each,XYZ,933,INR,975,INR,2053,94438,12 %,105770.56,108603.7
386,LED Panel 250,11,litres,ABC,508,INR,848,INR,1617,17787,12 %,19921.44,20455.05
387,SPARX 12V motor,37,crystals,ABC,590,INR,643,INR,1348,49876,12 %,55861.12,57357.4
388,SPARX 12V motor,2,each,MNO,709,INR,560,INR,1730,3460,12 %,3875.2,3979.0
389,Drill Machine,13,each,MKT,580,INR,993,INR,2003,26039,12 %,29163.68,29944.85
390,Air Pump,87,each,ABC,654,INR,698,INR,1590,138330,12 %,154929.6,159079.5
391,Air Pump,87,litres,XYZ,681,INR,560,INR,1633,142071,12 %,159119.52,163381.65
392,Drill Machine,71,crystals,ABC,926,INR,750,INR,1853,131563,12 %,147350.56,151297.45
393,LED Panel 250,87,each,ABC,732,INR,833,INR,1872,162864,12 %,182407.68,187293.6
394,TITAN 25mm wrench,97,tons,AKZ,736,INR,993,INR,1870,181390,12 %,203156.8,208598.5
395,Air Pump,84,tons,MNO,691,INR,518,INR,1451,121884,12 %,136510.08,140166.6
396,TITAN 25mm wrench,2,each,MKT,718,INR,707,INR,1781,3562,12 %,3989.44,4096.3
397,LED Panel 250,27,crystals,MNO,665,INR,583,INR,1636,44172,12 %,49472.64,50797.8
398,SPARX 12V motor,93,litres,XYZ,792,INR,735,INR,1880,174840,12 %,195820.8,201066.0
399,SPARX 12V motor,3,crystals,MNO,974,INR,784,INR,1932,5796,12 %,6491.52,6665.4
400,LED Panel 250,60,litres,ABC,692,INR,922,INR,2097,125820,12 %,140918.4,144693.0
401,TITAN 25mm wrench,58,litres,MNO,984,INR,957,INR,2288,132704,12 %,148628.48,152609.6
402,LED Panel 250,40,tons,AKZ,639,INR,648,INR,1767,70680,12 %,79161.6,81282.0
403,LED Panel 250,34,each,MKT,666,INR,701,INR,1538,52292,12 %,58567.04,60135.8
404,Air Pump,96,each,ABC,571,INR,768,INR,1628,156288,12 %,175042.56,179731.2
405,SPARX 12V motor,55,crystals,XYZ,925,INR,508,INR,1790,98450,12 %,110264.0,113217.5
406,TITAN 25mm wrench,24,crystals,XYZ,749,INR,724,INR,1741,41784,12 %,46798.08,48051.6
407,Drill Machine,67,tons,XYZ,908,INR,794,INR,2198,147266,12 %,164937.92,169355.9
408,Air Pump,36,litres,XYZ,850,INR,926,INR,2126,76536,12 %,85720.32,88016.4
409,TITAN 25mm wrench,66,litres,XYZ,911,INR,562,INR,1782,117612,12 %,131725.44,135253.8
410,Drill Machine,99,crystals,AKZ,965,INR,778,INR,2040,201960,12 %,226195.2,232254.0
411,SPARX 12V motor,81,each,MNO,885,INR,862,INR,1926,156006,12 %,174726.72,179406.9
412,LED Panel 250,86,litres,XYZ,816,INR,802,INR,1876,161336,12 %,180696.32,185536.4
413,SPARX 12V motor,95,each,XYZ,634,INR,828,INR,1582,150290,12 %,168324.8,172833.5
414,SPARX 12V motor,42,litres,XYZ,605,INR,539,INR,1599,67158,12 %,75216.96,77231.7
415,TITAN 25mm wrench,99,litres,XYZ,543,INR,976,INR,1783,176517,12 %,197699.04,202994.55
416,Drill Machine,12,crystals,MKT,618,INR,786,INR,1732,20784,12 %,23278.08,23901.6
417,Drill Machine,61,litres,XYZ,509,INR,527,INR,1273,77653,12 %,86971.36,89300.95
418,SPARX 12V motor,35,tons,ABC,607,INR,717,INR,1819,63665,12 %,71304.8,73214.75
419,TITAN 25mm wrench,42,each,AKZ,732,INR,607,INR,1778,74676,12 %,83637.12,85877.4
420,SPARX 12V motor,74,crystals,AKZ,970,INR,852,INR,2321,171754,12 %,192364.48,197517.1
421,LED Panel 250,6,crystals,ABC,854,INR,643,INR,1964,11784,12 %,13198.08,13551.6
422,Air Pump,46,litres,ABC,792,INR,892,INR,1802,82892,12 %,92839.04,95325.8
423,LED Panel 250,71,crystals,AKZ,938,INR,771,INR,2115,150165,12 %,168184.8,172689.75
424,SPARX 12V motor,43,each,MNO,513,INR,992,INR,1796,77228,12 %,86495.36,88812.2
425,Air Pump,70,each,XYZ,662,INR,645,INR,1774,124180,12 %,139081.6,142807.0
426,SPARX 12V motor,13,each,MKT,936,INR,974,INR,2062,26806,12 %,30022.72,30826.9
427,TITAN 25mm wrench,72,tons,MNO,559,INR,975,INR,1703,122616,12 %,137329.92,141008.4
428,SPARX 12V motor,72,each,MNO,697,INR,744,INR,1679,120888,12 %,135394.56,139021.2
429,Air Pump,16,tons,MNO,971,INR,677,INR,1993,31888,12 %,35714.56,36671.2
430,Air Pump,44,litres,AKZ,600,INR,959,INR,1991,87604,12 %,98116.48,100744.6
431,LED Panel 250,58,crystals,MKT,539,INR,515,INR,1287,74646,12 %,83603.52,85842.9
432,Air Pump,23,crystals,MKT,814,INR,651,INR,1660,38180,12 %,42761.6,43907.0
433,TITAN 25mm wrench,84,crystals,ABC,848,INR,639,INR,1606,134904,12 %,151092.48,155139.6
434,LED Panel 250,80,each,MNO,584,INR,587,INR,1335,106800,12 %,119616.0,122820.0
435,TITAN 25mm wrench,43,each,XYZ,801,INR,613,INR,1615,69445,12 %,77778.4,79861.75
436,SPARX 12V motor,61,tons,AKZ,539,INR,841,INR,1687,102907,12 %,115255.84,118343.05
437,Drill Machine,76,tons,AKZ,650,INR,964,INR,2019,153444,12 %,171857.28,176460.6
438,LED Panel 250,61,litres,ABC,727,INR,838,INR,1768,107848,12 %,120789.76,124025.2
439,Air Pump,47,tons,ABC,693,INR,601,INR,1750,82250,12 %,92120.0,94587.5
440,LED Panel 250,56,litres,MKT,951,INR,895,INR,2100,117600,12 %,131712.0,135240.0
441,SPARX 12V motor,66,crystals,ABC,767,INR,572,INR,1581,104346,12 %,116867.52,119997.9
442,LED Panel 250,26,each,XYZ,785,INR,814,INR,1886,49036,12 %,54920.32,56391.4
443,Drill Machine,64,crystals,MKT,601,INR,509,INR,1223,78272,12 %,87664.64,90012.8
444,LED Panel 250,56,litres,ABC,970,INR,566,INR,1835,102760,12 %,115091.2,118174.0
445,SPARX 12V motor,12,crystals,MNO,528,INR,686,INR,1321,15852,12 %,17754.24,18229.8
446,Drill Machine,34,crystals,AKZ,797,INR,566,INR,1721,58514,12 %,65535.68,67291.1
447,TITAN 25mm wrench,15,each,MNO,860,INR,890,INR,2143,32145,12 %,36002.4,36966.75
448,Air Pump,80,tons,MNO,621,INR,548,INR,1628,130240,12 %,145868.8,149776.0
449,LED Panel 250,83,crystals,MKT,675,INR,533,INR,1431,118773,12 %,133025.76,136588.95
450,LED Panel 250,28,crystals,XYZ,662,INR,757,INR,1910,53480,12 %,59897.6,61502.0
451,TITAN 25mm wrench,31,tons,AKZ,628,INR,981,INR,1852,57412,12 %,64301.44,66023.8
452,SPARX 12V motor,89,tons,MNO,937,INR,665,INR,1920,170880,12 %,191385.6,196512.0
453,LED Panel 250,40,litres,MNO,505,INR,508,INR,1231,49240,12 %,55148.8,56626.0
454,TITAN 25mm wrench,94,tons,AKZ,833,INR,935,INR,1944,182736,12 %,204664.32,210146.4
455,Drill Machine,3,litres,ABC,822,INR,680,INR,1805,5415,12 %,6064.8,6227.25
456,Air Pump,78,litres,ABC,973,INR,656,INR,1847,144066,12 %,161353.92,165675.9
457,Air Pump,100,litres,MKT,929,INR,858,INR,2111,211100,12 %,236432.0,242765.0
458,LED Panel 250,1,crystals,AKZ,689,INR,543,INR,1640,1640,12 %,1836.8,1886.0
459,LED Panel 250,47,crystals,ABC,960,INR,879,INR,2062,96914,12 %,108543.68,111451.1
460,LED Panel 250,8,litres,ABC,722,INR,911,INR,2094,16752,12 %,18762.24,19264.8
461,LED Panel 250,49,litres,ABC,502,INR,635,INR,1480,72520,12 %,81222.4,83398.0
462,TITAN 25mm wrench,50,litres,AKZ,508,INR,920,INR,1896,94800,12 %,106176.0,109020.0
463,Drill Machine,9,tons,MNO,922,INR,683,INR,1743,15687,12 %,17569.44,18040.05
464,TITAN 25mm wrench,15,tons,XYZ,504,INR,913,INR,1531,22965,12 %,25720.8,26409.75
465,Drill Machine,22,each,XYZ,759,INR,690,INR,1823,40106,12 %,44918.72,46121.9
466,TITAN 25mm wrench,73,tons,MKT,903,INR,704,INR,2024,147752,12 %,165482.24,169914.8
467,Air Pump,82,each,ABC,814,INR,991,INR,2078,170396,12 %,190843.52,195955.4
468,TITAN 25mm wrench,7,crystals,MNO,624,INR,979,INR,1952,13664,12 %,15303.68,15713.6
469,TITAN 25mm wrench,55,litres,MKT,839,INR,838,INR,2009,110495,12 %,123754.4,127069.25
470,TITAN 25mm wrench,70,crystals,ABC,888,INR,629,INR,1843,129010,12 %,144491.2,148361.5
471,SPARX 12V motor,35,each,MKT,525,INR,512,INR,1229,43015,12 %,48176.8,49467.25
472,Drill Machine,87,crystals,AKZ,514,INR,876,INR,1655,143985,12 %,161263.2,165582.75
473,Drill Machine,32,each,XYZ,990,INR,587,INR,1907,61024,12 %,68346.88,70177.6
474,TITAN 25mm wrench,2,litres,XYZ,574,INR,970,INR,1944,3888,12 %,4354.56,4471.2
475,SPARX 12V motor,38,litres,ABC,916,INR,755,INR,2025,76950,12 %,86184.0,88492.5
476,SPARX 12V motor,93,crystals,XYZ,746,INR,864,INR,1805,167865,12 %,188008.8,193044.75
477,TITAN 25mm wrench,39,litres,ABC,809,INR,992,INR,2063,80457,12 %,90111.84,92525.55
478,SPARX 12V motor,81,tons,AKZ,718,INR,872,INR,1821,147501,12 %,165201.12,169626.15
479,SPARX 12V motor,51,crystals,AKZ,859,INR,522,INR,1501,76551,12 %,85737.12,88033.65
480,Drill Machine,14,crystals,AKZ,749,INR,715,INR,1929,27006,12 %,30246.72,31056.9
481,Drill Machine,5,each,MNO,653,INR,587,INR,1458,7290,12 %,8164.8,8383.5
482,LED Panel 250,33,crystals,MNO,901,INR,881,INR,2069,68277,12 %,76470.24,78518.55
483,Drill Machine,100,each,MNO,825,INR,634,INR,1623,162300,12 %,181776.0,186645.0
484,TITAN 25mm wrench,77,crystals,MKT,780,INR,931,INR,2107,162239,12 %,181707.68,186574.85
485,TITAN 25mm wrench,11,crystals,MNO,825,INR,715,INR,1764,19404,12 %,21732.48,22314.6
486,SPARX 12V motor,4,tons,MNO,990,INR,893,INR,2117,8468,12 %,9484.16,9738.2
487,TITAN 25mm wrench,46,tons,XYZ,670,INR,833,INR,1899,87354,12 %,97836.48,100457.1
488,Drill Machine,5,each,MKT,545,INR,624,INR,1412,7060,12 %,7907.2,8119.0
489,TITAN 25mm wrench,57,each,MKT,751,INR,976,INR,2146,122322,12 %,137000.64,140670.3
490,SPARX 12V motor,40,tons,MKT,937,INR,880,INR,2193,87720,12 %,98246.4,100878.0
491,SPARX 12V motor,83,crystals,AKZ,593,INR,792,INR,1748,145084,12 %,162494.08,166846.6
492,TITAN 25mm wrench,28,each,ABC,525,INR,794,INR,1554,43512,12 %,48733.44,50038.8
493,Drill Machine,57,tons,XYZ,570,INR,968,INR,2014,114798,12 %,128573.76,132017.7
494,TITAN 25mm wrench,89,litres,XYZ,733,INR,822,INR,1890,168210,12 %,188395.2,193441.5
495,Air Pump,5,litres,ABC,521,INR,545,INR,1185,5925,12 %,6636.0,6813.75
496,TITAN 25mm wrench,3,litres,XYZ,543,INR,985,INR,1636,4908,12 %,5496.96,5644.2
497,Air Pump,58,tons,ABC,511,INR,829,INR,1688,97904,12 %,109652.48,112589.6
498,SPARX 12V motor,35,each,AKZ,892,INR,509,INR,1506,52710,12 %,59035.2,60616.5
499,LED Panel 250,15,tons,MKT,930,INR,632,INR,2061,30915,12 %,34624.8,35552.25
500,TITAN 25mm wrench,74,litres,MKT,844,INR,868,INR,2202,162948,12 %,182501.76,187390.2
501,Air Pump,54,litres,XYZ,766,INR,605,INR,1552,83808,12 %,93864.96,96379.2
502,SPARX 12V motor,5,litres,MKT,882,INR,860,INR,1865,9325,12 %,10444.0,10723.75
503,Air Pump,70,crystals,MNO,852,INR,795,INR,2119,148330,12 %,166129.6,170579.5
504,LED Panel 250,49,each,MKT,763,INR,652,INR,1555,76195,12 %,85338.4,87624.25
505,SPARX 12V motor,43,litres,ABC,714,INR,964,INR,2097,90171,12 %,100991.52,103696.65
506,TITAN 25mm wrench,65,crystals,ABC,731,INR,676,INR,1629,105885,12 %,118591.2,121767.75
507,LED Panel 250,18,tons,XYZ,877,INR,939,INR,2248,40464,12 %,45319.68,46533.6
508,TITAN 25mm wrench,4,litres,AKZ,952,INR,904,INR,2350,9400,12 %,10528.0,10810.0
509,LED Panel 250,18,each,MKT,668,INR,888,INR,2052,36936,12 %,41368.32,42476.4
510,LED Panel 250,13,crystals,XYZ,857,INR,854,INR,1923,24999,12 %,27998.88,28748.85
511,SPARX 12V motor,13,tons,AKZ,669,INR,801,INR,1816,23608,12 %,26440.96,27149.2
512,Air Pump,35,tons,MKT,768,INR,839,INR,1786,62510,12 %,70011.2,71886.5
513,Air Pump,62,crystals,ABC,953,INR,938,INR,2254,139748,12 %,156517.76,160710.2
514,TITAN 25mm wrench,33,crystals,MKT,777,INR,773,INR,1757,57981,12 %,64938.72,66678.15
515,LED Panel 250,63,tons,ABC,732,INR,564,INR,1630,102690,12 %,115012.8,118093.5
516,LED Panel 250,61,tons,MNO,594,INR,948,INR,1863,113643,12 %,127280.16,130689.45
517,Drill Machine,34,crystals,MKT,630,INR,869,INR,1710,58140,12 %,65116.8,66861.0
518,Drill Machine,8,each,AKZ,967,INR,859,INR,2072,16576,12 %,18565.12,19062.4
519,LED Panel 250,74,crystals,AKZ,663,INR,874,INR,1643,121582,12 %,136171.84,139819.3
520,Drill Machine,5,litres,ABC,688,INR,789,INR,1888,9440,12 %,10572.8,10856.0
521,Air Pump,71,litres,MNO,980,INR,598,INR,1954,138734,12 %,155382.08,159544.1
522,TITAN 25mm wrench,75,crystals,MNO,711,INR,860,INR,1702,127650,12 %,142968.0,146797.5
523,LED Panel 250,29,crystals,ABC,868,INR,735,INR,1793,51997,12 %,58236.64,59796.55
524,Air Pump,39,each,XYZ,998,INR,673,INR,1840,71760,12 %,80371.2,82524.0
525,Drill Machine,52,litres,AKZ,801,INR,585,INR,1565,81380,12 %,91145.6,93587.0
526,Air Pump,59,litres,AKZ,739,INR,635,INR,1713,101067,12 %,113195.04,116227.05
527,TITAN 25mm wrench,54,each,ABC,893,INR,683,INR,1739,93906,12 %,105174.72,107991.9
528,Drill Machine,3,litres,XYZ,904,INR,776,INR,2083,6249,12 %,6998.88,7186.35
529,Drill Machine,64,tons,MKT,716,INR,905,INR,2036,130304,12 %,145940.48,149849.6
530,TITAN 25mm wrench,14,tons,MNO,724,INR,981,INR,1997,27958,12 %,31312.96,32151.7
531,Drill Machine,6,crystals,ABC,880,INR,666,INR,1931,11586,12 %,12976.32,13323.9
532,SPARX 12V motor,21,litres,MKT,651,INR,755,INR,1811,38031,12 %,42594.72,43735.65
533,TITAN 25mm wrench,5,crystals,MKT,669,INR,752,INR,1743,8715,12 %,9760.8,10022.25
534,Drill Machine,57,each,MKT,679,INR,995,INR,1907,108699,12 %,121742.88,125003.85
535,Drill Machine,89,each,MKT,562,INR,992,INR,1738,154682,12 %,173243.84,177884.3
536,TITAN 25mm wrench,55,crystals,MNO,995,INR,620,INR,2053,112915,12 %,126464.8,129852.25
537,TITAN 25mm wrench,95,litres,XYZ,962,INR,538,INR,1768,167960,12 %,188115.2,193154.0
538,SPARX 12V motor,100,tons,MNO,532,INR,696,INR,1670,167000,12 %,187040.0,192050.0
539,Drill Machine,60,each,MKT,503,INR,557,INR,1286,77160,12 %,86419.2,88734.0
540,TITAN 25mm wrench,61,each,MNO,960,INR,696,INR,1768,107848,12 %,120789.76,124025.2
541,SPARX 12V motor,16,each,MKT,708,INR,810,INR,1656,26496,12 %,29675.52,30470.4
542,TITAN 25mm wrench,59,each,MNO,505,INR,585,INR,1443,85137,12 %,95353.44,97907.55
543,Air Pump,60,each,ABC,747,INR,939,INR,2087,125220,12 %,140246.4,144003.0
544,TITAN 25mm wrench,46,litres,AKZ,879,INR,560,INR,1660,76360,12 %,85523.2,87814.0
545,LED Panel 250,71,crystals,ABC,962,INR,866,INR,2108,149668,12 %,167628.16,172118.2
546,TITAN 25mm wrench,92,tons,MNO,758,INR,694,INR,1919,176548,12 %,197733.76,203030.2
547,LED Panel 250,40,each,XYZ,971,INR,773,INR,1931,77240,12 %,86508.8,88826.0
548,Drill Machine,6,each,MNO,969,INR,951,INR,2078,12468,12 %,13964.16,14338.2
549,Drill Machine,5,litres,MKT,907,INR,883,INR,2017,10085,12 %,11295.2,11597.75
550,SPARX 12V motor,98,litres,ABC,908,INR,581,INR,1595,156310,12 %,175067.2,179756.5
551,TITAN 25mm wrench,28,litres,AKZ,588,INR,873,INR,1720,48160,12 %,53939.2,55384.0
552,Air Pump,64,tons,XYZ,609,INR,832,INR,1878,120192,12 %,134615.04,138220.8
553,LED Panel 250,15,crystals,MKT,892,INR,526,INR,1653,24795,12 %,27770.4,28514.25
